ID,c__ID,brand,c__brandName 
40324209,,Springfield,Springfield
38707167,,Dr. Martens,Dr. Martens
40787610,,Epsilon,Epsilon
38928652,,Eugenia,Eugenia
40157720,,John Varvatos,John Varvatos
38612194,,Bomberg,Bomberg
40654014,,Adolfo Dominguez,Adolfo Dominguez
39926308,,Brantano,Brantano
40812450,,Camper,Camper
40758110,,Polo Ralph Lauren,Polo Ralph Lauren
41664894,,Montblanc,Montblanc
39316502,,Steve Madden,Steve Madden
39530395,,Pineda Covalin,Pineda Covalin
40031174,,Armani,Armani
40545919,,Nautica,Nautica
40405897,,Converse,Converse
40635610,,Levi's,Levi's
40040569,,Michael Kors,Michael Kors
40017588,,Call It Spring,Call It Spring
38142175,,,
39548146,,Birkenstock,Birkenstock
41745613,,Michael Kors,Michael Kors
39942259,,Nike,Nike
40529731,,Roberto Verino,Roberto Verino
30241170,,Levi's,Levi's
19309293,,Theo Frazier,Theo Frazier
39344812,,Diesel,Diesel
40135195,,Tommy Hilfiger,Tommy Hilfiger
40767947,,Boss,Boss
40811618,,Polo Ralph Lauren,Polo Ralph Lauren
40788481,,Boss,Boss
38584853,,O Meccanica,O Meccanica
40145532,,Scappino,Scappino
40309707,,Boggi,Boggi
40416042,,Aldo,Aldo
40156547,,Ted Baker,Ted Baker
39935185,,Pineda Covalin,Pineda Covalin
40951791,,Punto Blanco,Punto Blanco
37726592,,Hickok,Hickok
40652343,,ARMANI EXCHANGE,ARMANI EXCHANGE
41019500,,Boss,Boss
40534599,,Paul & Shark,Paul & Shark
37001837,,Victorinox,Victorinox
38278413,,Vilebrequin,Vilebrequin
39839577,,Sidi,Sidi
40655632,,Adolfo Dominguez,Adolfo Dominguez
12274246,,Clarins,Clarins
40411549,,Chester & Peck,Chester & Peck
41744156,,Balenciaga,Balenciaga
18919437,,Levi's,Levi's
39233638,,Steve Madden,Steve Madden
39606838,,Florentino,Florentino
39893872,,Vans,Vans
40522727,,Polo Ralph Lauren,Polo Ralph Lauren
41663930,,Polo Ralph Lauren,Polo Ralph Lauren
39686916,,Ray Ban,Ray Ban
40851241,,,
40857350,,,
40582434,,Daniel Wellington,Daniel Wellington
39683070,,Salvatore Ferragamo,Salvatore Ferragamo
40114318,,Lacoste,Lacoste
40780308,,Kenneth Cole,Kenneth Cole
36182686,,L Occitane,L Occitane
40613070,,Calvin Klein,Calvin Klein
39817720,,Catamaran,Catamaran
40596871,,Garmin,Garmin
36793348,,Hugo Boss,Hugo Boss
40799484,,Tane,Tane
40841777,,Polo Ralph Lauren,Polo Ralph Lauren
40021566,,Boss,Boss
40113597,,Dockers,Dockers
40034404,,Joe S,Joe S
40012628,,Barberia Capital,Barberia Capital
36296204,,Ray Ban,Ray Ban
40788913,,Boss,Boss
40193072,,Caterpillar,Caterpillar
39929573,,Catamaran,Catamaran
40743039,,Florsheim,Florsheim
40155469,,The North Face,The North Face
40135292,,Joe S,Joe S
39988831,,Garrett Leight,Garrett Leight
39616827,,Calvin Klein,Calvin Klein
17181410,,Alfani,Alfani
40092760,,Levi's,Levi's
40115885,,Polo Ralph Lauren,Polo Ralph Lauren
40866017,,Diadora,Diadora
39804540,,Bolon,Bolon
40800104,,Polo Ralph Lauren,Polo Ralph Lauren
40279890,,Boss,Boss
40294719,,Scappino,Scappino
40430724,,Adidas,Adidas
39628396,,Burberry,Burberry
42167385,,Perry Ellis,Perry Ellis
40548622,,,
40801108,,Polo Ralph Lauren,Polo Ralph Lauren
40226611,,Rockport,Rockport
36513072,,Ray Ban,Ray Ban
39248979,,Flexi,Flexi
39995145,,Flexi,Flexi
39677786,,Dockers,Dockers
40123213,,Polo Ralph Lauren,Polo Ralph Lauren
40163719,,Epsilon,Epsilon
38970481,,Hackett,Hackett
38777953,,Oro & Gold,Oro & Gold
36877364,,Novios de Protocolo,Novios de Protocolo
40791369,,Sandro,Sandro
39686813,,Ray Ban,Ray Ban
40479107,,Fjällräven,Fjällräven
40178550,,Calvin Klein,Calvin Klein
39186846,,Levi's,Levi's
40156682,,Pepe Jeans,Pepe Jeans
40171477,,Epsilon,Epsilon
40649931,,Alexander McQueen,Alexander McQueen
40791468,,Scappino,Scappino
40078088,,Carrera,Carrera
40827389,,Springfield,Springfield
40665590,,,
40156399,,Pol Cotton,Pol Cotton
40763593,,Springfield,Springfield
40812314,,Camper,Camper
40462091,,Michael Kors,Michael Kors
40452655,,Chester & Peck,Chester & Peck
40902038,,Penguin,Penguin
40584563,,Diesel,Diesel
41745607,,Michael Kors,Michael Kors
39521841,,Thomas Sabo,Thomas Sabo
40534230,,Paul & Shark,Paul & Shark
36542384,,Levi's,Levi's
42178975,,Pertegaz,Pertegaz
40511054,,Catamaran,Catamaran
40313246,,Swarovski,Swarovski
40422258,,Michel Domit,Michel Domit
40557812,,Lacoste,Lacoste
40521047,,Nautica,Nautica
37773171,,Vilebrequin,Vilebrequin
40290442,,Polo Ralph Lauren,Polo Ralph Lauren
40274286,,Hugo Boss,Hugo Boss
40072979,,Theo Frazier,Theo Frazier
38631424,,Florentino,Florentino
39977927,,Pineda Covalin,Pineda Covalin
39514930,,Barberia Capital,Barberia Capital
40927407,,Springfield,Springfield
40534474,,Paul & Shark,Paul & Shark
39197617,,La Martina,La Martina
39868455,,Quirelli,Quirelli
39833099,,Apc,Apc
40309990,,Boggi,Boggi
40906470,,Pal Zileri,Pal Zileri
40866985,,The North Face,The North Face
39988809,,Garrett Leight,Garrett Leight
39498030,,EA7 EMPORIO ARMANI,EA7 EMPORIO ARMANI
39724748,,Ray Ban,Ray Ban
40034608,,Ray Ban,Ray Ban
31046264,,Optix,Optix
40112908,,Harmont & Blaine,Harmont & Blaine
40630484,,Enrico Coveri,Enrico Coveri
40140057,,Levi's,Levi's
40815304,,Scalpers,Scalpers
40222891,,Original Penguin,Original Penguin
40648294,,Armani Exchange,Armani Exchange
38266263,,Ermenegildo Zegna,Ermenegildo Zegna
40999714,,Dolce & Gabanna,Dolce & Gabanna
39016687,,Maui Jim,Maui Jim
40832035,,Timberland,Timberland
40020754,,Boss,Boss
40743280,,Tommy Hilfiger,Tommy Hilfiger
38772467,,Cuadra,Cuadra
40674998,,Epsilon,Epsilon
40178350,,Fila,Fila
40545484,,Salvatore Ferragamo,Salvatore Ferragamo
39322397,,Adolfo Dominguez,Adolfo Dominguez
39962592,,Apc,Apc
40483840,,Epsilon,Epsilon
40800189,,Polo Ralph Lauren,Polo Ralph Lauren
40297047,,Scalpers,Scalpers
40299303,,Penguin,Penguin
37412013,,Tommy Hilfiger,Tommy Hilfiger
39016723,,Lacoste,Lacoste
10171288,,Troy,Troy
40181861,,Adolfo Dominguez,Adolfo Dominguez
40092835,,Levi's,Levi's
39835423,,Ted Baker,Ted Baker
39682671,,Salvatore Ferragamo,Salvatore Ferragamo
40982394,,MONTBLANC,MONTBLANC
39785769,,Perry Ellis,Perry Ellis
40275728,,UNO DE 50,UNO DE 50
38711213,,,
36173455,,Barbie,Barbie
39688586,,Ph 1888,Ph 1888
40862429,,Nike,Nike
40787824,,Vineyard Vines,Vineyard Vines
40895134,,Salvatore Ferragamo,Salvatore Ferragamo
42164618,,Replay,Replay
38682145,,Ray Ban,Ray Ban
40142384,,Springfield,Springfield
40800527,,Polo Ralph Lauren,Polo Ralph Lauren
